file,top_k,omp_sparsity,omp_selected_count,omp_support_grid_indices,omp_residual_norm,optimal_rss,sweep_rss,beamformer_top1_rss,omp_rss,sweep_gain_ratio_to_optimal,beamformer_top1_gain_ratio_to_optimal,omp_gain_ratio_to_optimal,sweep_gain_loss_to_optimal_db,beamformer_top1_gain_loss_to_optimal_db,omp_gain_loss_to_optimal_db,omp_gain_loss_minus_sweep_gain_loss_db,sweep_similarity_to_optimal,beamformer_top1_similarity_to_optimal,omp_similarity_to_optimal,beamformer_top1_index,beamformer_top1_phi_index,beamformer_top1_theta_index,beamformer_top1_phi_deg,beamformer_top1_theta_deg,sweep_index,sweep_phi_index,sweep_theta_index,sweep_phi_deg,sweep_theta_deg
seed6533-epoch10-23.mat,10,10,10,1035 1014 1019 1015 1034 1037 1016 1036 1017 1018,0.20573052433298916,4.723798649020853e-10,1.6748197739473922e-11,3.2349553428222145e-10,4.524493872331741e-10,0.03545493570718871,0.6848207519371629,0.9578083674818731,14.5032079668742,1.6442304551085556,0.1872136919955807,-14.31599427487862,0.1779361218214035,0.8264251947402954,0.9786087274551392,1015,50,15,225.0,71.05263157894737,1079,53,19,238.5,90.0
seed6533-epoch5-67.mat,10,10,10,1572 1551 1593 1553 1574 1591 1571 1592 1552 1573,0.08448535868380477,2.1030107552599183e-09,2.3108032259256004e-10,1.9719818489596217e-09,2.0881642097476366e-09,0.10988071364570841,0.9376946095151557,0.9929403378108512,9.590783613265614,0.2793857922272309,0.03076845756540081,-9.560015155700214,0.3283854126930237,0.9682867527008057,0.9964248538017273,1572,78,12,351.0,56.84210526315789,1593,79,13,355.5,61.57894736842105
seed6533-epoch7-99.mat,10,10,10,172 151 192 153 174 171 154 191 152 173,0.21454229361477414,7.452675167113227e-09,6.342437054161894e-11,6.853800087770769e-09,7.110292678084714e-09,0.008510282431400562,0.9196429381512369,0.9540591155053476,20.700553477957627,0.36380759200218904,0.20424714383895548,-20.49630633411867,0.09075472503900528,0.9589020013809204,0.9767149090766907,172,8,12,36.0,56.84210526315789,113,5,13,22.5,61.57894736842105
seed6636-epoch31-85.mat,10,10,10,268 247 228 114 133 151 267 227 248 152,0.5965669082810152,6.0274193779865225e-12,1.4446668986461541e-12,3.1265814115774636e-12,4.087999587269767e-12,0.2396824922988434,0.5187263761662968,0.6782338063616499,6.203408324007839,2.850549835483605,1.686171484805783,-4.517236839202056,0.0755508542060852,0.7036685347557068,0.8025633692741394,268,13,8,58.5,37.89473684210526,113,5,13,22.5,61.57894736842105
seed6636-epoch54-7.mat,10,10,10,733 754 736 713 732 753 715 714 734 735,0.32132382398144704,2.9668793350143227e-09,1.1204206532884267e-09,1.2503991613156962e-09,2.661895466741112e-09,0.3776428114434987,0.4214526511269997,0.8972038179396539,4.229187537043785,3.752511898163675,0.47108885321650007,-3.758098683827285,0.6124807596206665,0.6447829008102417,0.9469693899154663,734,36,14,162.0,66.3157894736842,759,37,19,166.5,90.0
seed6638-epoch16-8.mat,10,10,10,1570 1530 1590 1549 1550 1589 1571 1569 1551 1591,0.34694171615538927,8.690344715836093e-09,1.3724781442278032e-10,6.631145742420724e-09,7.648057922949478e-09,0.015793138121745473,0.7630474922746198,0.8800638148464589,18.015312549772062,1.1744842905036705,0.5548583463371983,-17.460454203434864,0.09917987883090973,0.8733145594596863,0.9378863573074341,1570,78,10,351.0,47.368421052631575,1599,79,19,355.5,90.0
seed6638-epoch16-94.mat,10,10,10,35 55 798 33 37 39 34 799 36 38,0.14062986672624958,9.876475758883978e-10,1.264863638900998e-10,9.472234840435516e-10,9.681414791299593e-10,0.128068318070162,0.9590703274814557,0.9802499421507793,8.925579946775315,0.18149543489489872,0.08663173771581967,-8.838948209059495,0.3001565635204315,0.9792808294296265,0.9900619983673096,35,1,15,4.5,71.05263157894737,13,0,13,0.0,61.57894736842105
seed6638-epoch17-89.mat,10,10,10,584 543 583 544 290 310 624 563 564 604,0.5507490172565749,2.198980217292961e-10,5.353748104744881e-12,1.406161931756443e-10,1.6339338498067512e-10,0.024346504177902857,0.6394609286151236,0.7430416321881212,16.135554742716607,1.9418587463353845,1.2898678399317447,-14.845686902784863,0.1458428055047989,0.7777174711227417,0.8346706032752991,564,28,4,126.0,18.94736842105263,526,26,6,117.0,28.421052631578945
seed666-epoch20-81.mat,10,10,10,1248 1328 1285 1287 1247 1246 1286 1267 1268 1266,0.3718429280070448,1.5009308398768404e-09,1.7241118153557898e-10,1.7241118153557898e-10,1.2975676627207844e-09,0.11486950428024137,0.11486950428024137,0.8645086290766448,9.397950301684702,9.397950301684702,0.6323066293132769,-8.765643672371425,0.28099939227104187,0.28099939227104187,0.9282957911491394,1266,63,6,283.5,28.421052631578945,1266,63,6,283.5,28.421052631578945
seed666-epoch22-14.mat,10,10,10,1591 1571 12 1593 1590 10 1572 1592 11 1570,0.44699111266855673,2.4147603892002682e-08,2.2909924448211365e-09,1.8022540213145023e-08,1.9337830726291534e-08,0.09487452482106841,0.7463490081147891,0.8008177876686112,10.228503690962427,1.2705803940442735,0.9646628847735172,-9.26384080618891,0.30769339203834534,0.8634896278381348,0.8945383429527283,1591,79,11,355.5,52.10526315789473,1593,79,13,355.5,61.57894736842105
seed666-epoch22-52.mat,10,10,10,872 851 1548 1569 871 852 1568 873 853 787,0.7054514206740914,5.083814835699068e-10,6.821097622517783e-11,2.1316655127272414e-10,2.588012792299697e-10,0.13417281791263005,0.4193043180405525,0.5090690506913049,8.723349077617868,3.774705468546557,2.932232230988191,-5.791116846629677,0.3623741865158081,0.6408832669258118,0.7087583541870117,872,43,12,193.5,56.84210526315789,853,42,13,189.0,61.57894736842105
seed666-epoch46-14.mat,10,10,10,666 687 706 626 685 645 667 686 665 646,0.40443375972660506,4.703317868857623e-10,1.8923711317249724e-10,3.4237791019617085e-10,3.9366924795918564e-10,0.40234812625679617,0.7279497574747806,0.8370032792506176,3.95397879690762,1.3789855981082155,0.7727282252242702,-3.18125057168335,0.6334218978881836,0.8524667620658875,0.9145672917366028,666,33,6,148.5,28.421052631578945,646,32,6,144.0,28.421052631578945
