file,rank,index,phi_index,theta_index,phi_deg,theta_deg,predicted_rss,predicted_rss_db,selected_by_omp,omp_order,omp_coeff_real,omp_coeff_imag,omp_coeff_abs
seed1005-epoch36-89.mat,7,876,43,16,193.5,75.78947368421052,7.0268504556714184e-12,-111.53233108495564,True,6,-0.5974782432680357,3.2739011228885757,3.327973679828273
seed1005-epoch36-89.mat,8,877,43,17,193.5,80.52631578947367,6.4388750407873285e-12,-111.91183258347749,True,8,-2.174807345755311,-4.70458340437529,5.182942407539819
seed1005-epoch36-89.mat,9,875,43,15,193.5,71.05263157894737,5.855988870900886e-12,-112.32392341128458,True,2,0.6989026497987773,-0.4410953952230801,0.8264563276923697
seed1005-epoch36-89.mat,10,878,43,18,193.5,85.26315789473684,5.349130860476947e-12,-112.71708658551483,True,4,1.8710866906474914,1.8761127346511162,2.649672507506969
seed1005-epoch38-56.mat,1,734,36,14,162.0,66.3157894736842,1.7742242397478236e-10,-97.50991246866118,True,9,-0.057719383693154096,-3.446169647253676,3.446652980052741
seed1005-epoch38-56.mat,2,733,36,13,162.0,61.57894736842105,1.5480514092836017e-10,-98.10214340373166,True,1,-2.0861800185368526,2.6320870308200917,3.358575472957806
seed1005-epoch38-56.mat,3,753,37,13,166.5,61.57894736842105,1.2835713047998354e-10,-98.91579662098789,True,10,-2.461659782752175,-0.31731189104279717,2.482026535357074
seed1005-epoch38-56.mat,4,735,36,15,162.0,71.05263157894737,1.1184578263545575e-10,-99.51379998886212,True,4,0.6238387213320319,1.3679968555749586,1.5035259050299596
seed1005-epoch38-56.mat,5,754,37,14,166.5,66.3157894736842,1.1058290394494463e-10,-99.56311616793795,True,2,2.5747990261926113,-1.0057121471245702,2.7642443720040983
seed1005-epoch38-56.mat,6,488,24,8,108.0,37.89473684210526,9.031479036858414e-11,-100.44240640918125,True,6,0.014618738184229528,-0.013494820485965392,0.019895167404359322
seed1005-epoch38-56.mat,7,508,25,8,112.5,37.89473684210526,7.864972562110495e-11,-101.04302235938034,True,8,-0.0016205926176551882,-0.00508783321508144,0.005339697300117717
seed1005-epoch38-56.mat,8,755,37,15,166.5,71.05263157894737,7.423349435153881e-11,-101.29399510628144,True,7,-0.6633416769733589,0.8260227813424644,1.0594035188286703
seed1005-epoch38-56.mat,9,752,37,12,166.5,56.84210526315789,5.918335266308361e-11,-102.27799702426722,True,3,0.5411030001185011,0.7943028992504964,0.9610980972278463
seed1005-epoch38-56.mat,10,732,36,12,162.0,56.84210526315789,5.6408499399251966e-11,-102.48654683481976,True,5,1.101665955794762,-0.37822504848233046,1.1647841282643954
seed1005-epoch38-76.mat,1,1455,72,15,324.0,71.05263157894737,7.124802831048882e-11,-101.47226540092834,True,1,10.783240412560607,-5.254612009735142,11.995383327261077
seed1005-epoch38-76.mat,2,1456,72,16,324.0,75.78947368421052,6.605804098169799e-11,-101.80073652454332,True,6,-41.36698617378121,12.68261652362906,43.26749711951495
seed1005-epoch38-76.mat,3,1475,73,15,328.5,71.05263157894737,5.909887162980354e-11,-102.28420076130375,True,3,-0.1809574561430808,-3.22249610525472,3.2275728883040915
seed1005-epoch38-76.mat,4,1476,73,16,328.5,75.78947368421052,5.8015502124586504e-11,-102.36455195998973,True,7,-1.7311861027672282,11.153889911655757,11.287438393353492
seed1005-epoch38-76.mat,5,1457,72,17,324.0,80.52631578947367,5.476244457902624e-11,-102.61516380279558,True,9,89.13601179966356,-8.380524404047348,89.5291114042611
seed1005-epoch38-76.mat,6,1477,73,17,328.5,80.52631578947367,5.0601814405304424e-11,-102.958330523315,True,2,4.606070147118037,-16.310632671682523,16.948528560047016
seed1005-epoch38-76.mat,7,1454,72,14,324.0,66.3157894736842,4.964329294865344e-11,-103.04138543681752,True,5,-1.224843650740155,0.8659117957989051,1.5000150688783616
seed1005-epoch38-76.mat,8,1458,72,18,324.0,85.26315789473684,4.9030134119387725e-11,-103.09536032992543,True,10,-127.14079516931757,-12.512084942981808,127.75497667764947
seed1005-epoch38-76.mat,9,1459,72,19,324.0,90.0,4.697621458493728e-11,-103.28121057762915,True,4,69.55360415656345,13.120529077919684,70.78030894572626
seed1005-epoch38-76.mat,10,1478,73,18,328.5,85.26315789473684,4.5945622306753364e-11,-103.37754916596742,True,8,-2.886611283138765,7.833194211743178,8.348140886378886
seed1005-epoch38-96.mat,1,1146,57,6,256.5,28.421052631578945,1.9546728124986146e-10,-97.08925705404269,True,1,-1.1115100603843568,-0.48905751807873454,1.214344214102809
seed1005-epoch38-96.mat,2,1126,56,6,252.0,28.421052631578945,1.763143242516918e-10,-97.53712156692939,True,10,0.4585416768305623,0.4334457799885873,0.6309799628993766
seed1005-epoch38-96.mat,3,1166,58,6,261.0,28.421052631578945,1.1638334740382561e-10,-99.3410878267892,True,5,0.08384771541620165,0.20413119255114667,0.22068072673631844
seed1005-epoch38-96.mat,4,1106,55,6,247.5,28.421052631578945,9.950554269444467e-11,-100.02152290896728,True,2,-0.31181659795584643,0.004383900590639022,0.3118474135617395
seed1005-epoch38-96.mat,5,1125,56,5,252.0,23.684210526315788,4.94875598833211e-11,-103.05503082131239,True,3,0.2638906411330688,-0.6333908824378036,0.6861649076081942
seed1005-epoch38-96.mat,6,1147,57,7,256.5,33.1578947368421,4.79347117554596e-11,-103.19348973804863,True,4,0.04876128431834417,-0.18042331865634995,0.186896326243576
seed1005-epoch38-96.mat,7,1145,57,5,256.5,23.684210526315788,4.202131004271692e-11,-103.765293787864,True,6,-0.41189285044805385,0.2316514531528238,0.47256546212989137
