file,beamformer_index,beamformer_phi_index,beamformer_theta_index,beamformer_phi_deg,beamformer_theta_deg,sweep_index,sweep_phi_index,sweep_theta_index,sweep_phi_deg,sweep_theta_deg,beamformer_matches_sweep,sweep_similarity_to_optimal,beamformer_similarity_to_optimal,sweep_similarity_squared_to_optimal,beamformer_similarity_squared_to_optimal,beamformer_vs_sweep_phi_error_deg,beamformer_vs_sweep_theta_error_deg,optimal_rss,beamformer_rss,sweep_rss,sweep_gain_loss_to_optimal_db,beamformer_gain_loss_to_optimal_db,best_reference_index
seed3081-epoch35-51.mat,1508,75,8,337.5,37.89473684210526,1486,74,6,333.0,28.421052631578945,False,0.13654842972755432,0.7119345664978027,0.01864547366106084,0.5068508269744143,4.5,9.473684210526315,4.2205718217769083e-10,2.1508224975029965e-10,9.624740050794587e-12,16.419778770169614,2.9276662553971846,23
seed3081-epoch35-64.mat,668,33,8,148.5,37.89473684210526,426,21,6,94.5,28.421052631578945,False,0.14443424344062805,0.9420626163482666,0.020861250678266607,0.8874819731209413,54.0,9.473684210526315,2.7215371957139526e-08,2.4163010239170532e-08,6.004503135681797e-10,16.563371275793585,0.5166323613876784,57
seed3081-epoch59-14.mat,52,2,12,9.0,56.84210526315789,113,5,13,22.5,61.57894736842105,False,0.2182929962873459,0.8936331868171692,0.047651832228107205,0.7985802725810096,13.5,4.7368421052631575,1.6341066517689419e-09,1.3058991522106695e-09,7.965638995219577e-11,13.120592590128922,0.9737075121591943,58
seed3081-epoch6-12.mat,765,38,5,171.0,23.684210526315788,746,37,6,166.5,28.421052631578945,False,0.6543261408805847,0.43523237109184265,0.4281426986396788,0.18942721684622743,4.5,4.7368421052631575,2.7826381129552072e-09,5.28260896784419e-10,1.1976405264686767e-09,3.661302250827532,7.216081983361832,42
seed3081-epoch6-82.mat,1095,54,15,243.0,71.05263157894737,1079,53,19,238.5,90.0,False,0.47276654839515686,0.9347556233406067,0.2235082092814702,0.8737680753668862,4.5,18.94736842105263,1.7028470049012226e-09,1.4883308462512223e-09,3.808050076277814e-10,6.504728904984773,0.5847614335944371,39
seed3082-epoch16-100.mat,774,38,14,171.0,66.3157894736842,753,37,13,166.5,61.57894736842105,False,0.41446390748023987,0.9632729291915894,0.17178033060378883,0.9278947361133447,4.5,4.7368421052631575,5.273573118844073e-09,4.897107263201405e-09,9.06805753011224e-10,7.645906655455519,0.32165354670678425,26
seed3082-epoch16-58.mat,116,5,16,22.5,75.78947368421052,119,5,19,22.5,90.0,False,0.6075432896614075,0.6843552589416504,0.36910884881260486,0.46834212044109336,0.0,14.21052631578948,1.1856052166859299e-08,5.562264632980924e-09,4.382627014777916e-09,4.322055838758445,3.286884501756859,16
seed3082-epoch16-99.mat,1566,78,6,351.0,28.421052631578945,1586,79,6,355.5,28.421052631578945,False,0.6372182369232178,0.7637027502059937,0.4060470814675341,0.5832418906721983,4.5,0.0,1.0520187308480864e-08,6.20226875847797e-09,4.306873437894287e-09,3.878613566617517,2.2947288820187453,28
seed3082-epoch17-94.mat,1595,79,15,355.5,71.05263157894737,1593,79,13,355.5,61.57894736842105,False,0.648987889289856,0.7023096680641174,0.42118528044490233,0.4932388698563308,0.0,9.473684210526322,1.2037295514584536e-09,5.94049598982142e-10,5.07079688945965e-10,3.75452657733193,3.067061784788905,13
seed3142-epoch14-23.mat,93,4,13,18.0,61.57894736842105,113,5,13,22.5,61.57894736842105,False,0.40562617778778076,0.9347583055496216,0.16453259610672433,0.8737730897939997,4.5,0.0,8.849234968679803e-09,7.737764095034242e-09,1.4616770226408531e-09,7.8205428205682495,0.5829024108308545,51
seed3142-epoch14-57.mat,31,1,11,4.5,52.10526315789473,853,42,13,189.0,61.57894736842105,False,0.005536610726267099,0.9614543914794922,3.06540583342159e-05,0.9243945468952006,175.5,9.473684210526315,2.9064136884807622e-09,2.6892208578507458e-09,2.1630990322265177e-10,11.282808414357135,0.33730958046180604,58
